direction,mode,seed,checkpoint_file,checkpoint_sha256,test_manifest_sha256,n_sessions
PURE_MMPD,none,42,PURE_MMPD_none_S42_Epoch29.pth,e9eac0375317d678c33bed91beb41f407e20eb2c7c0b9322a663b2c2c73fd627,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
PURE_MMPD,none,100,PURE_MMPD_none_S100_Epoch29.pth,f39e1b6de19651923e6afc7c374eb14809e2364bc38b60ede2a561c857da442b,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
PURE_MMPD,none,202,PURE_MMPD_none_S202_Epoch29.pth,cf4c4d753d08752454195f69b8da26aeef35862f3341c940eaf24aa854def257,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
PURE_MMPD,osc_real,42,PURE_MMPD_osc_real_S42_Epoch29.pth,76aa0565644c573fb9f6f31bef888c4aa2eed453689a4fc258a4bec2bdeec65f,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
PURE_MMPD,osc_real,100,PURE_MMPD_osc_real_S100_Epoch29.pth,19fc0ba598227531b308e693b8cc8f98724349ba434a8e5e841672844f9428c7,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
PURE_MMPD,osc_real,202,PURE_MMPD_osc_real_S202_Epoch29.pth,21710bd3168ad95f43cdc78ba30fc19f2250a3a8090f548459a7c8b8024c0aee,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
UBFC_MMPD,none,42,UBFC_MMPD_none_S42_Epoch29.pth,453736857612aff2a8d9f67406c397d624070f58475579f2148773b5ff1fe3dc,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
UBFC_MMPD,none,100,UBFC_MMPD_none_S100_Epoch29.pth,0f0a44e26c2820457362e44d5d62c37cf5cad0b068b881bf28fe3af2515c7a58,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
UBFC_MMPD,none,202,UBFC_MMPD_none_S202_Epoch29.pth,19815079f1a01ca2db622eb30ee7f97cecdd850a25d01bcd320398d5e046aff9,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
UBFC_MMPD,osc_real,42,UBFC_MMPD_osc_real_S42_Epoch29.pth,3edba8e3af8ac582be4513b1440f12049ad9b52b06056f2a2d910070ecfed3ba,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
UBFC_MMPD,osc_real,100,UBFC_MMPD_osc_real_S100_Epoch29.pth,804b7d4f7c4ee72f40db6cf0ffeaa70a6cdf092567f4752790a4349bd0254396,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
UBFC_MMPD,osc_real,202,UBFC_MMPD_osc_real_S202_Epoch29.pth,f807196db27f192c39f7f04a49df43730867d1eb9552c3f8d612633a42b5950b,8ed72d1ee4794dadca21a630ad3139a096bd54b29818ae3f2277985abe2b0816,612
MMPD_PURE,none,42,MMPD_PURE_none_S42_Epoch29.pth,1ce7b1a0c10d2c67d8ef5a3d916debb7810fc87a579ee7ad9867f80083f9ebef,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
MMPD_PURE,none,100,MMPD_PURE_none_S100_Epoch29.pth,9bd4010d268426cde2fbe6f4e4319946f9d1578bfb8125dba11f888101d04d69,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
MMPD_PURE,none,202,MMPD_PURE_none_S202_Epoch29.pth,4e62c9ccdd03584a9cf94f1db21e8bcaa0efb90c3dd74b6814c8b78ab6c6d4a9,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
MMPD_PURE,osc_real,42,MMPD_PURE_osc_real_S42_Epoch29.pth,cdb3e4c347565ecda44b60d6511ded6789e719b88f1c54bb851b1e852ae8d2ac,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
MMPD_PURE,osc_real,100,MMPD_PURE_osc_real_S100_Epoch29.pth,9e9c787eea65b1b95879828afe3bca9a1327c89d11592a30f9a6a90eae6a91b9,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
MMPD_PURE,osc_real,202,MMPD_PURE_osc_real_S202_Epoch29.pth,fb25337e4358d3cb1c8d31a896b276f0257939312f3ca9937fa5cc6d2b9e3f4f,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
